Symbol,Score,Loss,Under
NYSE:FIX,7.22,42.4%,U
NASDAQ:GURE,4.90,43.7%,U
NASDAQ:STRL,5.99,43.1%,U
NASDAQ:MRTN,7.52,43.1%,O
NYSE:HII,5.93,43.1%,U
NASDAQ:ARLP,5.34,44.0%,U
NASDAQ:BELFA,4.84,43.7%,U
NYSE:NX,7.08,42.4%,U
NASDAQ:CVCO,7.32,43.1%,O
NYSE:EGY,5.02,43.1%,U
NYSE:CRM,5.75,44.1%,U
NASDAQ:PFIS,7.51,44.1%,U
NASDAQ:FORR,5.88,43.1%,U
NASDAQ:OPRT,4.80,43.7%,U
NYSE:NRP,4.80,43.7%,U
NASDAQ:CRAI,6.59,42.0%,U
NYSE:ADM,6.14,43.7%,U
NYSE:SD,4.76,43.7%,U
NASDAQ:PVBC,6.58,43.0%,U
NASDAQ:ENSG,6.35,43.3%,U
NYSE:GRBK,5.78,43.1%,U
NASDAQ:METC,4.71,43.7%,U
NYSE:VST,4.70,43.7%,U
NYSE:GTN,4.69,43.7%,U
NASDAQ:HDSN,4.69,43.7%,U
NASDAQ:OVLY,6.38,43.0%,U
NYSE:FRC,6.29,43.7%,U
NYSE:EARN,4.90,43.7%,U
NASDAQ:FMAO,7.34,43.1%,O
NYSE:PSX,5.38,44.1%,U
NYSE:TNET,6.83,42.0%,U
NYSE:AFL,6.83,42.0%,U
NASDAQ:FNWD,5.69,43.1%,U
NYSE:KOP,4.65,43.7%,U
NYSE:ALG,5.66,44.0%,U
NYSE:SAH,6.82,43.3%,U
NYSE:ABM,5.79,43.1%,U
NASDAQ:CPLP,5.06,43.1%,U
NYSE:HPE,5.30,43.1%,U
NYSE:DFH,4.57,43.7%,U
NYSE:CLH,6.70,43.2%,O
NASDAQ:EZPW,4.77,43.7%,U
NASDAQ:TSRI,5.04,43.1%,U
NASDAQ:FDBC,7.42,43.1%,O
NYSE:CIB,5.74,44.0%,U
NYSE:BH.A,4.74,43.7%,U
NYSE:MDC,6.63,42.0%,U
NYSE:NOG,4.51,43.7%,U
NASDAQ:COLL,4.51,43.7%,U
NYSE:GM,4.72,43.7%,U
NYSE:TIXT,5.21,43.1%,U
NYSE:TPH,6.18,42.0%,U
NASDAQ:COKE,6.20,42.8%,U
NASDAQ:IMKTA,6.56,42.0%,U
NYSE:JXN,4.47,43.7%,U
NASDAQ:THFF,5.90,44.0%,U
NYSE:TGH,5.76,43.1%,U
NYSE:PH,7.75,43.5%,U
NYSE:SFBS,7.15,43.5%,U
NYSE:BOOT,6.07,42.0%,U
NYSE:CRK,4.86,43.7%,U
NYSE:CF,5.61,44.1%,U
NASDAQ:BUSE,6.27,43.3%,U
NYSE:LAD,6.90,42.0%,U
NASDAQ:PAA,4.81,44.7%,U
NASDAQ:PEBO,7.07,41.1%,O
NASDAQ:VABK,6.41,42.0%,U
NASDAQ:PPC,4.94,45.2%,U
NYSE:ARCH,4.36,43.7%,U
NASDAQ:NRIM,6.40,42.0%,U
NYSE:SLGN,5.99,43.1%,U
NASDAQ:AEIS,5.58,44.6%,U
NASDAQ:TSCO,6.95,43.3%,U
NASDAQ:PMTS,4.54,43.7%,U
NYSE:WTI,4.33,43.7%,U
NYSE:HCC,5.27,43.1%,U
NASDAQ:TBBK,6.56,43.0%,U
NYSE:NC,5.11,43.1%,U
NASDAQ:IGIC,5.88,43.1%,U
NYSE:ACA,5.29,43.1%,U
NYSE:CBT,4.63,44.7%,U
NYSE:WRK,6.23,42.0%,U
NASDAQ:TCFC,6.95,43.0%,U
NASDAQ:VERI,4.22,43.7%,U
NYSE:SEE,6.62,42.0%,U
NASDAQ:BPOP,6.90,43.7%,U
NYSE:AMK,5.48,44.1%,U
NYSE:ATGE,4.39,43.7%,U
NASDAQ:OPBK,7.69,44.1%,U
NYSE:LOB,6.58,42.0%,U
NYSE:PR,4.18,43.7%,U
NASDAQ:WIRE,6.13,42.0%,U
NYSE:FBIN,7.06,42.4%,U
NYSE:BJ,5.91,44.0%,U
NYSE:DVN,4.87,45.2%,U
NYSE:TTE,5.53,44.6%,U
NASDAQ:SIGA,4.16,43.7%,U
NASDAQ:APA,4.15,43.7%,U
NYSE:LEN,7.01,42.4%,U
NYSE:BXC,5.69,43.1%,U
NYSE:NVR,7.09,43.1%,O
NYSE:MEC,4.10,43.7%,U
NASDAQ:HPK,5.01,43.1%,U
NYSE:AMR,4.10,43.7%,U
NYSE:FN,7.35,41.1%,O
NYSE:XPOF,4.08,43.7%,U
NYSE:NGVT,5.47,44.0%,U
NASDAQ:VIR,4.07,43.7%,U
NYSE:UNH,8.31,40.9%,O
NASDAQ:DORM,6.05,42.8%,U
NYSE:AR,4.04,43.7%,U
NYSE:NSP,6.63,43.2%,O
NASDAQ:ONB,6.12,42.8%,U
NYSE:CPE,4.67,43.7%,U
NASDAQ:JFIN,4.03,43.7%,U
NYSE:GPK,4.92,43.7%,U
NYSE:MLI,7.87,44.1%,U
NYSE:HD,6.57,42.8%,U
NASDAQ:PFHD,5.14,44.6%,U
NASDAQ:SAL,6.41,43.0%,U
NYSE:GLP,4.01,43.7%,U
NASDAQ:ACTG,4.01,43.7%,U
NASDAQ:FGBI,6.76,42.0%,U
NASDAQ:PNRG,4.66,45.2%,U
NASDAQ:UTHR,5.64,44.9%,U
NYSE:TWI,3.97,44.5%,U
NYSE:VLO,5.09,44.6%,U
NASDAQ:DVAX,3.95,44.5%,U
NASDAQ:BFC,7.24,42.4%,U
NASDAQ:WMG,6.22,43.2%,O
NASDAQ:OTTR,7.66,41.5%,O
NYSE:HVT,5.78,43.1%,U
NYSE:NVS,6.66,42.0%,U
NYSE:DHR,7.53,43.5%,U
NYSE:PAG,7.21,42.4%,U
NASDAQ:AMWD,4.11,43.7%,U
NASDAQ:SCSC,5.08,43.1%,U
NYSE:MOD,3.92,44.5%,U
NASDAQ:PYPL,6.70,43.7%,U
NASDAQ:CSPI,5.45,44.1%,U
NYSE:SXI,6.63,43.7%,U
NYSE:DINO,4.41,45.2%,U
NYSE:CACI,5.72,43.1%,U
NYSE:AMCR,5.90,44.0%,U
NASDAQ:BWFG,6.98,43.2%,O
NYSE:DCP,4.49,43.7%,U
NASDAQ:KFRC,7.24,43.5%,U
NASDAQ:STGW,4.74,43.7%,U
NASDAQ:NMIH,7.12,41.1%,O
NASDAQ:NVEE,6.56,42.0%,U
NYSE:VRTV,5.68,43.1%,U
NASDAQ:LSEA,3.87,44.5%,U
NASDAQ:DJCO,3.86,44.5%,U
NASDAQ:ICHR,4.24,43.7%,U
NASDAQ:BRY,3.85,44.5%,U
NYSE:VSH,6.54,43.1%,O
NYSE:CCS,5.64,43.1%,U
NYSE:SRE,5.49,43.1%,U
NYSE:SSTK,6.10,42.0%,U
NYSE:SFL,4.36,43.7%,U
NASDAQ:CHCO,7.38,41.1%,O
NASDAQ:CASY,6.45,43.2%,O
